"","Latitude....c.Grid_Points_Y.","Longitude....c.Grid_Points_X."
"1",-54.948,289.167
"2",-54.948,292.5
"3",-53.933,287.5
"4",-53.933,289.167
"5",-53.933,290.833
"6",-52.919,287.5
"7",-52.919,289.167
"8",-52.919,290.833
"9",-51.905,285.833
"10",-51.905,289.167
"11",-51.905,290.833
"12",-51.905,300.833
"13",-50.89,285.833
"14",-50.89,287.5
"15",-50.89,289.167
"16",-50.89,290.833
"17",-49.876,285.833
"18",-49.876,287.5
"19",-49.876,289.167
"20",-49.876,290.833
"21",-48.861,285
"22",-48.861,286.429
"23",-48.861,287.857
"24",-48.861,289.286
"25",-48.861,290.714
"26",-48.861,292.143
"27",-47.847,286.429
"28",-47.847,287.857
"29",-47.847,289.286
"30",-47.847,290.714
"31",-47.847,292.143
"32",-47.847,293.571
"33",-46.832,167.857
"34",-46.832,286.429
"35",-46.832,287.857
"36",-46.832,289.286
"37",-46.832,290.714
"38",-46.832,292.143
"39",-45.818,167.857
"40",-45.818,169.286
"41",-45.818,287.857
"42",-45.818,289.286
"43",-45.818,290.714
"44",-45.818,292.143
"45",-44.803,167.857
"46",-44.803,169.286
"47",-44.803,170.714
"48",-44.803,287.857
"49",-44.803,289.286
"50",-44.803,290.714
"51",-44.803,292.143
"52",-44.803,293.571
"53",-43.789,169.286
"54",-43.789,170.714
"55",-43.789,172.143
"56",-43.789,287.857
"57",-43.789,289.286
"58",-43.789,290.714
"59",-43.789,292.143
"60",-43.789,293.571
"61",-42.774,146.429
"62",-42.774,147.857
"63",-42.774,172.143
"64",-42.774,286.429
"65",-42.774,287.857
"66",-42.774,289.286
"67",-42.774,290.714
"68",-42.774,292.143
"69",-42.774,293.571
"70",-41.76,145
"71",-41.76,146.429
"72",-41.76,147.857
"73",-41.76,172.143
"74",-41.76,173.571
"75",-41.76,286.429
"76",-41.76,287.857
"77",-41.76,289.286
"78",-41.76,290.714
"79",-41.76,292.143
"80",-41.76,293.571
"81",-41.76,295
"82",-40.745,286.429
"83",-40.745,287.857
"84",-40.745,289.286
"85",-40.745,290.714
"86",-40.745,292.143
"87",-40.745,293.571
